student_track_id,student_id,track_name,date_enrolled,track_completed,days_for_completion,completion_bucket
6199,273059,"Data Scientist",2022-08-15,0,NULL,NULL
6200,273061,"Data Analyst",2022-05-06,0,NULL,NULL
6201,273068,"Data Scientist",2022-05-07,0,NULL,NULL
6202,273069,"Data Analyst",2022-05-07,0,NULL,NULL
6203,273072,"Data Scientist",2022-07-31,0,NULL,NULL
6204,273073,"Data Analyst",2022-05-07,0,NULL,NULL
6205,273081,"Data Analyst",2022-05-07,0,NULL,NULL
6206,273083,"Data Analyst",2022-05-07,0,NULL,NULL
6207,273083,"Business Analyst",2022-05-07,0,NULL,NULL
6208,273091,"Data Analyst",2022-09-11,0,NULL,NULL
6209,273092,"Data Scientist",2022-05-07,0,NULL,NULL
6210,273094,"Data Scientist",2022-05-07,0,NULL,NULL
6211,273096,"Data Scientist",2022-08-15,0,NULL,NULL
6212,273096,"Business Analyst",2022-05-07,0,NULL,NULL
6213,273103,"Data Scientist",2022-05-07,0,NULL,NULL
6214,273109,"Data Analyst",2022-05-07,0,NULL,NULL
6215,273118,"Data Scientist",2022-05-07,0,NULL,NULL
6216,273118,"Data Analyst",2022-05-07,0,NULL,NULL
6217,273118,"Business Analyst",2022-05-07,0,NULL,NULL
6218,273121,"Data Analyst",2022-05-07,0,NULL,NULL
6219,273123,"Data Analyst",2022-05-08,0,NULL,NULL
6220,273131,"Data Scientist",2022-08-13,0,NULL,NULL
6221,273133,"Data Analyst",2022-05-07,0,NULL,NULL
6222,273134,"Data Scientist",2022-05-07,0,NULL,NULL
6223,273134,"Data Analyst",2022-05-07,0,NULL,NULL
6224,273134,"Business Analyst",2022-05-07,0,NULL,NULL
6225,273136,"Data Analyst",2022-07-27,0,NULL,NULL
6226,273141,"Data Analyst",2022-05-08,0,NULL,NULL
6227,273142,"Data Analyst",2022-05-08,0,NULL,NULL
6228,273144,"Data Scientist",2022-05-08,0,NULL,NULL
6229,273149,"Data Analyst",2022-05-08,0,NULL,NULL
6230,273155,"Data Analyst",2022-05-08,0,NULL,NULL
6231,273157,"Data Scientist",2022-05-08,0,NULL,NULL
6232,273158,"Data Analyst",2022-05-08,0,NULL,NULL
6233,273161,"Data Analyst",2022-07-25,0,NULL,NULL
6234,273165,"Data Scientist",2022-05-08,0,NULL,NULL
6235,273172,"Data Analyst",2022-05-08,0,NULL,NULL
6236,273177,"Data Scientist",2022-05-14,0,NULL,NULL
